,data,CO max,H2S max,NO max,NO2 max,NOx max,PM1 max,PM10 max,PM2.5 max,SO2 max,CO,H2S,NO,NO2,NOx,PM1,PM10,PM2.5,SO2
2135,2015-11-27,,1.3,49.0,56.0,131.0,30.0,46.0,33.0,13.0,,1.0125,8.875,25.375,38.666666666666664,5.875,15.583333333333334,7.75,4.708333333333333
2136,2015-11-28,,2.8,38.0,49.0,108.0,17.0,34.0,19.0,18.0,,1.1458333333333333,6.25,19.916666666666668,28.958333333333332,4.583333333333333,14.375,6.0,6.0
2137,2015-11-29,,1.0,29.0,78.0,122.0,19.0,37.0,22.0,6.0,,1.0,4.958333333333333,22.0,29.083333333333332,7.0,13.625,8.625,3.0833333333333335
2138,2015-11-30,,4.8,89.0,84.0,220.0,33.0,67.0,39.0,21.0,,1.1583333333333334,16.5,39.583333333333336,64.375,13.666666666666666,24.625,16.0,4.833333333333333
2139,2015-12-01,,12.5,94.0,95.0,238.0,41.0,73.0,48.0,26.0,,1.6041666666666667,16.958333333333332,46.958333333333336,72.54166666666667,19.583333333333332,32.166666666666664,22.291666666666668,5.541666666666667
2140,2015-12-02,,12.6,138.0,109.0,319.0,47.0,74.0,53.0,27.0,,2.0208333333333335,26.916666666666668,56.583333333333336,97.41666666666667,28.083333333333332,43.0,31.125,9.333333333333334
2141,2015-12-03,,1.0,90.0,99.0,237.0,50.0,74.0,54.0,10.0,,1.0,17.458333333333332,48.625,75.04166666666667,31.0,45.666666666666664,33.0,5.041666666666667
2142,2015-12-04,,3.0,90.0,130.0,267.0,,75.0,,6.0,,1.5272727272727273,19.291666666666668,54.0,82.83333333333333,,57.166666666666664,,3.8260869565217392
2143,2015-12-05,,2.7,32.0,71.0,105.0,,75.0,,9.0,,1.8624999999999996,11.333333333333334,48.791666666666664,65.79166666666667,,57.458333333333336,,4.791666666666667
2144,2015-12-06,,2.6,17.0,66.0,92.0,,69.0,,7.0,,1.8666666666666663,6.875,46.458333333333336,56.708333333333336,,45.75,,5.875
2145,2015-12-07,,4.0,33.0,50.0,99.0,,37.0,,8.0,,1.5541666666666665,8.083333333333334,27.916666666666668,39.958333333333336,,19.5,,6.0
2146,2015-12-08,,1.9,20.0,56.0,79.0,32.0,39.0,34.0,6.0,,1.4375,3.625,22.541666666666668,27.416666666666668,17.583333333333332,21.75,19.5,5.583333333333333
2147,2015-12-09,,3.1,85.0,71.0,192.0,33.0,50.0,35.0,9.0,,1.5875000000000001,20.666666666666668,34.857142857142854,65.85714285714286,22.73913043478261,30.130434782608695,25.08695652173913,4.125
